version,id,specialty,naics_modifier,eo_minimum_premium
v2.0.101,340,Medical Arts School: Radiology,0.555999994277954,1500.00
v2.0.101,341,Medical Arts School: Spa,0.679000020027161,1000.00
v2.0.101,342,Medical Arts School: Surgical,0.802999973297119,1500.00
v2.0.101,343,Veterinary - Domestic Pets,0.716000020503998,850.00
v2.0.101,344,Veterinary - Non-Domestic Pets,0.894999980926514,5000.00
v2.0.101,345,1031 Exchange Agent,2.545000076293945,850.00
v2.0.101,346,Auctioneering of real property,1.481999993324280,850.00
v2.0.101,347,Mortgage Field and Property Preservation Services,1.481999993324280,850.00
v2.0.101,348,Other Activities Related to Real Estate,1.481999993324280,850.00
v2.0.101,349,Real Estate Appraisers,1.481999993324280,850.00
v2.0.101,350,Real Estate Developers - Homebuilders,6.159999847412109,10000.00
v2.0.101,351,Real Estate Developers - Project Specific,2.566999912261963,10000.00
v2.0.101,352,Real Estate Developers - Residential / Commercial,1.750000000000000,7000.00
v2.0.101,353,Real Estate Developers - Sale / Property Management Services only,3.174999952316284,850.00
v2.0.101,354,Property Management - Standalone,1.481999993324280,850.00
v2.0.101,355,Property Management & Real Estate Sales,1.481999993324280,850.00
v2.0.101,356,Real Estate Agent/Broker - Standalone,1.481999993324280,850.00
v2.0.101,357,Security Guards,3.174999952316284,3750.00
v2.0.101,358,Security/Defense/Military Contractor Services,2.545000076293945,850.00
v2.0.101,359,Accounting,0.342000007629395,500.00
v2.0.101,360,Autonomous AI,0.728999972343445,500.00
v2.0.101,361,Banking - Investment,0.523999989032745,500.00
v2.0.101,362,Banking - Retail,0.592999994754791,500.00
v2.0.101,363,Biometric,0.592999994754791,500.00
v2.0.101,364,Broadcasting,0.456000000238419,500.00
v2.0.101,365,Business Analytics,0.228000000119209,500.00
v2.0.101,366,Cloud Storage,0.456000000238419,500.00
v2.0.101,367,Communications,0.228000000119209,500.00
v2.0.101,368,Computer-aided Design (CAD),0.228000000119209,500.00
v2.0.101,369,Computer-aided Manufacturing (CAM),0.728999972343445,500.00
v2.0.101,370,Control Systems,0.728999972343445,500.00
v2.0.101,371,Crowdfunding,0.523999989032745,500.00
v2.0.101,372,Cryptocurrency,0.728999972343445,500.00
v2.0.101,373,Customer Engagement / CRM,0.541999995708466,500.00
v2.0.101,374,Customer Rewards,0.456000000238419,500.00
v2.0.101,375,Cybersecurity,0.342000007629395,500.00
v2.0.101,376,Data Mining / Aggregation,0.728999972343445,500.00
v2.0.101,377,Digital Marketing,0.342000007629395,500.00
v2.0.101,378,E-Commerce,0.523999989032745,500.00
v2.0.101,379,E-Discovery,0.456000000238419,500.00
v2.0.101,380,Emergency Notification,0.456000000238419,500.00
v2.0.101,381,Enterprise Resource Planning (ERP),0.708000004291534,500.00
v2.0.101,382,Financial Trading,0.728999972343445,500.00
v2.0.101,383,Gambling,0.728999972343445,500.00
v2.0.101,384,Geographic Information Systems (GIS),0.342000007629395,500.00
v2.0.101,385,Health and Wellness,0.342000007629395,500.00
v2.0.101,386,Human Resources,0.456000000238419,500.00
v2.0.101,387,Identity and Fraud Protection,0.592999994754791,500.00
v2.0.101,388,Internet of Things (IoT),0.456000000238419,500.00
v2.0.101,389,IT Analytics,0.228000000119209,500.00
v2.0.101,390,Learning Management,0.228000000119209,500.00
v2.0.101,391,Medical Diagnostic,0.728999972343445,500.00
v2.0.101,392,Other,0.456000000238419,500.00
v2.0.101,393,Password Management,0.728999972343445,500.00
v2.0.101,394,Payment Processing,0.728999972343445,500.00
v2.0.101,395,Point of Sale (POS),0.523999989032745,500.00
v2.0.101,396,Practice Management,0.456000000238419,500.00
v2.0.101,397,Risk Management,0.456000000238419,500.00
v2.0.101,398,Sharing Economy,0.342000007629395,500.00
v2.0.101,399,Social Media,0.592999994754791,500.00
v2.0.101,400,Supply Chain Management,0.523999989032745,500.00
v2.0.101,401,Telematics,0.228000000119209,500.00
v2.0.101,402,Video Game,0.728999972343445,500.00
v2.0.101,403,Cloud Computing,0.546000003814697,500.00
v2.0.101,404,Content Delivery Network (CDN),0.728999972343445,500.00
v2.0.101,405,Data Center / Colocation,0.546000003814697,500.00
v2.0.101,406,Virtual Private Network (VPN),0.638000011444092,500.00
v2.0.101,407,Electronic Repair,0.275000005960464,500.00
v2.0.101,408,E-Recycling & Data Destruction,0.731999993324280,500.00
