version,id,percent_of_occ_limit,type,factor
v2.0.101,278,30.00,Defamation Exclusion and Sublimit,-2.25
v2.0.101,279,30.00,InvasionPrivacyExclusionSublimit,-2.25
v2.0.101,280,30.00,Media activities,8.10
v2.0.101,281,35.00,Bodily Injury,14.82
v2.0.101,282,35.00,Property Damage,5.93
v2.0.101,283,35.00,Breach of Contract,5.93
v2.0.101,284,35.00,Personal & Advertising Injury,11.85
v2.0.101,285,35.00,Intellectual Property Infringement,5.93
v2.0.101,286,35.00,Third Party Discriminatio,5.93
v2.0.101,287,35.00,Contractors Pollution (Claims Made),7.83
v2.0.101,288,35.00,Contractors Pollution (Occ),9.40
v2.0.101,289,35.00,Sexual Abuse & Misconduct,15.03
v2.0.101,290,35.00,Billing Errors Coverage,6.84
v2.0.101,291,35.00,Class Action Sublimit,-13.87
v2.0.101,292,35.00,Crisis Management,4.57
v2.0.101,293,35.00,Defense Only TCPA,12.30
v2.0.101,294,35.00,Defense Outside Limits,11.85
v2.0.101,295,35.00,Evacuation Expenses,4.57
v2.0.101,296,35.00,Faulty Workmanship,32.22
v2.0.101,297,35.00,Games of Chance / Over-Redemptio,6.84
v2.0.101,298,35.00,HIPAA Violations,2.73
v2.0.101,299,35.00,Open House Claim Sublimit,7.83
v2.0.101,300,35.00,Rectification Expenses,4.57
v2.0.101,301,35.00,Protective Indemnity,1.37
v2.0.101,302,35.00,Mold,4.57
v2.0.101,303,35.00,Pollutants in Transit,1.37
v2.0.101,304,35.00,Non-Owned Disposal Site,1.37
v2.0.101,305,35.00,Bodily injury / property damage,15.56
v2.0.101,306,35.00,Antitrust sublimit,2.73
v2.0.101,307,35.00,Failure to disclose pollutants,2.73
v2.0.101,308,35.00,FCRA defense only sublimit,12.30
v2.0.101,309,35.00,Pollution liability,7.41
v2.0.101,310,35.00,Technology Coverage Extensio,7.83
v2.0.101,311,35.00,Bodily Inury (Emotional Distress),7.41
v2.0.101,312,35.00,Network security & privacy,4.57
v2.0.101,313,35.00,Defamation Exclusion and Sublimit,-1.97
v2.0.101,314,35.00,InvasionPrivacyExclusionSublimit,-1.97
v2.0.101,315,35.00,Media activities,8.48
v2.0.101,316,40.00,Bodily Injury,15.45
v2.0.101,317,40.00,Property Damage,6.18
v2.0.101,318,40.00,Breach of Contract,6.18
v2.0.101,319,40.00,Personal & Advertising Injury,12.36
v2.0.101,320,40.00,Intellectual Property Infringement,6.18
v2.0.101,321,40.00,Third Party Discriminatio,6.18
v2.0.101,322,40.00,Contractors Pollution (Claims Made),8.15
v2.0.101,323,40.00,Contractors Pollution (Occ),9.77
v2.0.101,324,40.00,Sexual Abuse & Misconduct,15.48
v2.0.101,325,40.00,Billing Errors Coverage,6.98
v2.0.101,326,40.00,Class Action Sublimit,-13.56
v2.0.101,327,40.00,Crisis Management,4.75
v2.0.101,328,40.00,Defense Only TCPA,12.56
v2.0.101,329,40.00,Defense Outside Limits,12.36
v2.0.101,330,40.00,Evacuation Expenses,4.75
v2.0.101,331,40.00,Faulty Workmanship,33.51
v2.0.101,332,40.00,Games of Chance / Over-Redemptio,6.98
v2.0.101,333,40.00,HIPAA Violations,2.79
v2.0.101,334,40.00,Open House Claim Sublimit,8.15
v2.0.101,335,40.00,Rectification Expenses,4.75
v2.0.101,336,40.00,Protective Indemnity,1.40
v2.0.101,337,40.00,Mold,4.75
v2.0.101,338,40.00,Pollutants in Transit,1.40
v2.0.101,339,40.00,Non-Owned Disposal Site,1.40
v2.0.101,340,40.00,Bodily injury / property damage,16.23
v2.0.101,341,40.00,Antitrust sublimit,2.79
v2.0.101,342,40.00,Failure to disclose pollutants,2.79
v2.0.101,343,40.00,FCRA defense only sublimit,12.56
v2.0.101,344,40.00,Pollution liability,7.73
v2.0.101,345,40.00,Technology Coverage Extensio,8.15
v2.0.101,346,40.00,Bodily Inury (Emotional Distress),7.73
v2.0.101,347,40.00,Network security & privacy,4.75
v2.0.101,348,40.00,Defamation Exclusion and Sublimit,-1.71
v2.0.101,349,40.00,InvasionPrivacyExclusionSublimit,-1.71
v2.0.101,350,40.00,Media activities,8.82
v2.0.101,351,45.00,Bodily Injury,16.03
